"Marca temporal","1. ¿Has vivido o presenciado una emergencia en tu localidad?","2. ¿Qué tipo de emergencia? (puedes marcar varias)","3. ¿Reportaste o intentaste reportar la emergencia?","4. Si reportaste, ¿por qué medio? (puedes marcar varias)","5. ¿Qué fue lo más difícil o frustrante al pedir o dar aviso de ayuda?","6. ¿Supiste si tu reporte fue recibido o atendido?","7. ¿Qué tan seguro/a estabas de que la ayuda llegaría a tiempo?","8. ¿Qué te habría gustado que pasara con tu reporte?","9. Si pudieras pedir UNA cosa a un sistema que recibe estos reportes, ¿cuál sería?"
"2026/07/14 10:47:33 a. m. GMT-6","No","Otro","No lo reporté","Otro","Na","No reporté","1","Na","Na"
"2026/07/14 10:49:08 a. m. GMT-6","Sí","Inundación;Incendio;Caída de poste o cable","Sí, lo reporté","Redes sociales (Facebook / X);En persona / con una autoridad","Que no contestan enseguida, o te realizan muchas preguntas","Sí, me confirmaron","3","Que fuera mas rápido, ya que se dificulta cuando se trata de una comunidad con difícil acceso ","Que aunque hayan equipos de respuesta inmediata, siempre llegan cuando es demasiado tarde, que el sistema sea más eficiente, pero todo va a depender de la persona a cargo."
"2026/07/14 10:49:33 a. m. GMT-6","Sí","Incendio","No lo reporté","","","No reporté","5","Notificaciones de seguimiento y cierre","Estatus vía  WhatsApp o mensaje "
"2026/07/14 10:49:42 a. m. GMT-6","Sí","Caída de poste o cable;Persona en riesgo (atrapada/herida)","No lo reporté","No reporté","No reporto, casi siempre ya han reportado ","No reporté","4","No reporté ","Casi siempre el reporte de alguien más es atendido, no tengo quejas "
"2026/07/14 10:51:10 a. m. GMT-6","No","Otro","No lo reporté","Otro","","No reporté","3","No he presenciado emergencia","Empatía "
"2026/07/14 10:52:22 a. m. GMT-6","Sí","Inundación","Lo intenté pero no pude","Llamada al 911","La espera ","No supe nada","2","Que llegará rápido ","Rapidez "
"2026/07/14 10:52:24 a. m. GMT-6","Sí","Caída de poste o cable","Sí, lo reporté","Llamada al 911","","Sí, me confirmaron","4","Nada el mismo día cambiaron el poste ","Que hubieran medios digitales para hacerlo "
"2026/07/14 10:52:45 a. m. GMT-6","Sí","Inundación","No lo reporté","No reporté","","No reporté","","No reporte ","Agilidad "
"2026/07/14 10:54:42 a. m. GMT-6","Sí","Inundación;Incendio;Caída de poste o cable;Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","Que no atienden las llamadas rápido ","Sí, me confirmaron","3","Que me dieran importancia","Atención "
"2026/07/14 10:55:36 a. m. GMT-6","No","Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","El tiempo de respuesta","Sí, me confirmaron","3","Trazabilidad, seguimiento","No se me ocurre algo especifico."
"2026/07/14 10:57:33 a. m. GMT-6","No","Inundación;Caída de poste o cable","Sí, lo reporté","En persona / con una autoridad","","Sí, me confirmaron","3","Que fuera más fácil el poder reportar ","Que la atención fuera más veloz "
"2026/07/14 11:00:28 a. m. GMT-6","Sí","Inundación;Caída de poste o cable","Sí, lo reporté","Redes sociales (Facebook / X)","Tardan que contestar las llamadas ","Sí, me confirmaron","2","Que fuera más efectivo la comunicación ","Que exista una atención rápida y adecuada "
"2026/07/14 11:00:47 a. m. GMT-6","Sí","Incendio;Caída de poste o cable","Sí, lo reporté","Llamada al 911","La línea de emergencia no daba el apoyó necesario ","Sí, me confirmaron","2","Que nos hubieran dado una respuesta más eficiente ","Reducir el tiempo de espera "
"2026/07/14 11:00:57 a. m. GMT-6","Sí","Caída de poste o cable;Persona en riesgo (atrapada/herida)","Sí, lo reporté","Llamada al 911","La falta de empatía y la cantidad de preguntas aún en medio de la emergencia ","No supe nada","2","inmediatamente al dar la dirección poder tener ayuda policial en el momento o que se pueda rastrear la ubicación de la llamada para una llegada de las autoridades más pronta ","mejor tecnología "
"2026/07/14 11:08:52 a. m. GMT-6","Sí","Incendio","Sí, lo reporté","Llamada al 911","Que tardaran en contestar la llamada","No supe nada","2","Tener un seguimiento ","Tener trazabilidad del estatus del reporte, por ejemplo si pedí una ambulancia, patrulla, poder ver por donde viene "
