texto,categoria,urgencia,etiquetador,origen
"En la colonia 27 de septiembre en Veracruz, se desbordó una chapopotera en la calle Guadalupe Victoria y soltó petróleo crudo",otro,media,ricardo,real
"En la entrada de la colonia Las Fuentes, en #Xalapa, un taxi quedó atorado en la corriente de agua que lo cubría casi en su totalidad.",persona_en_riesgo,alta,ricardo,real
"En la escuela Adalberto Tejeda, en la avenida México, en #Xalapa se cayó la barda y el plantel quedó completamente inundado. #ChécaloEnAlCalor",dano_estructural,alta,ricardo,real
En San Andrés Tuxtla se colapsó el techo por las fuertes #lluvias y el agua en cascada cayó sobre los #pacientes.,persona_en_riesgo,alta,ricardo,real
Escuchamos una fuerte explosión de tranformador en rebsamen y nos dejó sin luz a toda la avenida,caida_poste_cable,media,ricardo,real
"Esta horrible!! El aire horrible, solo se escucha como caen cosas, desde mi ventana acabo de ver como se voló el techo de mi vecino",dano_estructural,media,ricardo,real
Existe algún derrumbe o incidente en carretera Xalapa a Fortín?,otro,baja,ricardo,real
"Explosión registrada durante la celebración de las fiestas patronales de la comunidad de Los Trapiches, en Misantla.",otro,media,ricardo,real
Explotó un transformador de la CFE  en Belisario Domínguez entre Barragán y J.Herrera.,caida_poste_cable,media,ricardo,real
"Fallece el ciudadano tras 38 días de protesta pacífica en Plaza Lerdo de Xalapa, Veracruz",otro,baja,ricardo,real
"Falleció mujer tras caer de un tercer piso en la colonia Los Puentes, de #Xalapa.",otro,baja,ricardo,real
Falleció un motociclista al caerle poste de la CFE Veracruz,caida_poste_cable,baja,ricardo,real
"Fuego en edificio alarma a vecinos de la colonia Guadalupe Rodríguez, en Xalapa.",incendio,alta,ricardo,real
Fuego junto a las vías del tren en Xalapa,incendio,media,ricardo,real
HALLAN CUATRO CUERPOS D€CAPIT4DOS EN SAYULA DE ALEMÁN,otro,baja,ricardo,real
Hay cables colgando en Rayón casi Francisco I. Madero del puerto de Veracruz.,caida_poste_cable,media,ricardo,real
Hay un barco incendiandose en el puerto de veracruz?regando combustible ya el mar se prendió y no lo pueden controlar,incendio,alta,ricardo,real
"Hay un derrumbe en la carretera antigua Xalapa-Coatepec, metros antes de la entrada a Las Hayas.",deslave,media,ricardo,real
"Hay un fuerte incendio en la calle Melchor Ocampo de San Andrés Tuxtla, Veracruz, México",incendio,media,ricardo,real
"Hay una joven lesionada tras sufrir un descalabro al no ser atrapada luego de ser lanzada al aire durante los festejos por la Selección Mexicana en Xalapa, Veracruz.",otro,baja,ricardo,real
"Hay una persona fallecida dentro de un domicilio en la calle Independencia, junto a la Quinta de Las Rosas, en #Xalapa.",otro,baja,ricardo,real
Guardavidas evita una tragedia al retirar tanque de gas durante incendio en #PlayaRegatas,incendio,baja,ricardo,real
"Hubo deslaves y obstrucción de avenidas y calles. En la colonia 21 de marzo, también en #Xalapa, hubo un deslave, murió una niña de 7 años. #Grace",deslave,media,ricardo,real
Hubo un derrumbe en el Pico de Orizaba y hay un fallecido que iba en el grupo de mi papá,persona_en_riesgo,alta,ricardo,real
Indigente de 75 años muerto en la colonia El Moral en Xalapa,otro,baja,ricardo,real
Inundación en colonia Constitución en El Sumidero #Xalapa #PlanTajin,inundacion,media,ricardo,real
"Inundación en la avenida Ejercito y Urano, en Boca del Río, a la altura de la plaza Las Palmas",inundacion,media,ricardo,real
"Inundación en Lázaro Cárdenas a la altura de la Hernández Castillo en #Xalapa, algunos vehículos quedaron atrapados",persona_en_riesgo,alta,ricardo,real
"Inundada totalmente la carretera federal México-Veracruz,  a la altura de la Unidad Deportiva de Calpulalpan.  No hay paso",inundacion,media,ricardo,real
Joven agredida en la Av. Allende de #Veracruz pide ayuda en redes para ubicar a la mujer que la golpeó en la cara y casi la deja ciega.,otro,baja,ricardo,real
La autopista Puebla-Veracruz a la altura de las Cumbres de Maltrata sigue cerrada en dirección a la Ciudad de México debido a un deslave,deslave,media,ricardo,real
La carretera a Veracruz está inundada a la altura de las Ánimas en Xalapa,inundacion,media,ricardo,real
"La carretera federal #Fortín-#Huatusco se encuentra completamente cerrada luego de que un vehículo chocara contra un poste, el cual quedó atravesado en ambos carriles.",caida_poste_cable,media,ricardo,real
La zona debajo del puente cerca de Plaza El Dorado está inundada.,inundacion,media,ricardo,real
Las fuertes lluvias provocaron el colapso de la carretera que conecta a Veracruz con Chiapas.,dano_estructural,media,ricardo,real
Le pedí ayuda a alguien porque mi casa está inundada y le valió verga. Ojalá ustedes puedan ayudarme.,inundacion,alta,ricardo,real
LLUVIA DEJA 31 MUERTOS Y POZA RICA INUNDADA EN VERACRUZ,inundacion,media,ricardo,real
Mande atender deslave grave en la carretera Coatepec-Xalapa antes de que surja un socavón con toque “jarocho”,deslave,media,ricardo,real
"Masacran a familia en #Tecolutla #Veracruz, hay un niño de 8 años muerto, su mamá de 46, su hermana de 13 y su hermano de 15 resultan heridos de gravedad #Xalapa #CDMX #BocaDelRio @CiroGomezL",persona_en_riesgo,alta,ricardo,real
MATARON A UNA MUJER EN EL CENTRO DE COATEPEC,otro,baja,ricardo,real
Me pueden apoyar con costales de arena para evitar que se meta el agua a mi casa,inundacion,media,ricardo,real
"Mi hermano esta atrapado en el techo del hotel fiestInn en Poza rica , es de la CDMX y trabajador de Coppel. El agua sigue subiendo de nivel. Ayudenme a difundir por favor.",persona_en_riesgo,alta,ricardo,real
Mi vivienda se prendió en llamas en la colonia Emiliano Zapata,incendio,alta,ricardo,real
Motociclista repartidor de pizza fallecido en Torrentes Aeropuerto tras volarse un tope e impactar contra poste,caida_poste_cable,baja,ricardo,real
Movilización policiaca en Poza Rica tras reporte de desaparición de una joven,otro,baja,ricardo,real
"N1ñ4 quedó atrapada en el auto porque su papá fue 3jecut4d0 a bal4z0s justo frente al Palacio Municipal de #Cosamaloapan, en #Veracruz",persona_en_riesgo,alta,ricardo,real
"No hay paso en la autopista en el tramo #LaTinaja a #Cosoleacaque al sur de #Veracruz. Se desbordó el río La unión, incluso algunos trailers quedaron varados",inundacion,media,ricardo,real
No hay paso hacia #Coacotzintla ya que se desbordó el río ala altura del #Aguacate derivado del #HuracánGrace precauciones @Reporte_Indigo @CapitalMexico @EfektoTv@RdoCapital,inundacion,media,ricardo,real
Nos ayudan con un poste caído en Icazo y Constituyentes.,caida_poste_cable,media,ricardo,real
Pasando la caseta de plan del Río dirección norte se está incendiando un coche,incendio,media,ricardo,real
Patrulla de la Policía Estatal choca con vehículo particular en #Córdoba,otro,media,ricardo,real
"Por deslave, unidades quedan varadas en el puente ubicado en el kilómetro 13.5, frente a la Nueva Aduana del puerto de Veracruz.",deslave,media,ricardo,real
Por favor bomberos en la autopista Córdoba veracruz entre la kenworth y la salida de San Miguelito un trailer choco y se está incendiando se ve desde mi casa,incendio,media,ricardo,real
Porsche provoca carambola y deja varios vehículos dañados en #Cuauhtémoc,otro,media,ricardo,real
"Poste caído en Ejército Mexicano viniendo de plaza Las Américas en Boca del Río, Veracruz antes del mercado de La Boticaria.",caida_poste_cable,media,ricardo,real
"Poste caído en Icazo y Constituyentes, se recomienda evitar la zona y tomar vías alternas.",caida_poste_cable,media,ricardo,real
Poste de #Telmex a punto de caer sobre avenida Veracruz de norte a sur por donde empieza Laguna de Los Lagartos.,caida_poste_cable,media,ricardo,real
Poste de alta tensión a punto de colapsar en Paseo del Halcón esquina Kiwi de la Reserva Tarimoya 1. En la ciudad de #Veracruz,caida_poste_cable,media,ricardo,real
"Poste de CFE a punto de caer, en carretera Veracruz-Xalapa a la altura de la Fiscalía.",caida_poste_cable,media,ricardo,real
"Poste de cfe, caído en calle Av. Ignacio Zaragoza, en Coatzacoalcos",caida_poste_cable,media,ricardo,real
"Poste de energía eléctrica a punto de caer en calle Alfa y Omega esquina Retorno 2, Infonavit Buenavista en la  ciudad de #Veracruz.",caida_poste_cable,media,ricardo,real
"Poste de luz a punto de caer en cruce de la Calle 20 y Calle 33 en colonia Carranza en Boca del Río, Veracruz.",caida_poste_cable,media,ricardo,real
"Precaución rumbo a Santa Rosa, poste caído por la lluvia de esta tarde.",caida_poste_cable,media,ricardo,real
"Precaución, derrumbe en la carretera antigua Xalapa-Coatepec, metros antes de la entrada a Las Hayas.",deslave,media,ricardo,real
Presencia de Hidrocarburo en el municipio de #VegadeAlatorre #Veracruz en las playas de Higueras,otro,media,ricardo,real
Quiero reportar a los tránsitos de sayula que dicen que la licencia digital no sirve pa traer un carro particular y es corralón,otro,baja,ricardo,real
R3ST0S HUM4N0S cerca del campo “Óscar Torres Pancardo”.,otro,baja,ricardo,real
Reportan explosión de transformador atrás de la USBI dejando sin luz  a toda esa zona. @CFEmx #Xalapa #Veracruz,caida_poste_cable,media,ricardo,real
Requerimos apoyo para que se actúe rápido ante deslave en carretera Xalapa-Naolinco Ver #Frankiln,deslave,media,ricardo,real
Sabrán si algo pasó el carretera Mexico-Veracruz hacia Veracruz? El tráfico esta completamente detenido. Xfa,otro,baja,ricardo,real
Se cayó la barda de Geo Los Pinos 2 en la zona de las canchas.,dano_estructural,media,ricardo,real
"Se cayó un poste de telmex y otro está por caer esta en Calzada Veracruz y Calle Yucatán, Col San Bartolo.",caida_poste_cable,media,ricardo,real
Se derrumbó cerro Petlacala en carretera de San Andrés Tenejapan.,deslave,media,ricardo,real
"SE DESBORDA RÍO. Esta tarde a causa de las fuertes lluvias, se desbordó el río #Orizaba en #Veracruz, por lo que impidió el paso tanto a los transeúntes como a los vehículos.",inundacion,media,ricardo,real
"Se desbordó el río Bobos, ocasionando que el agua inundara diversas calles.",inundacion,media,ricardo,real
"Se desbordó el río Carneros en la zona de San Bruno, en Xalapa",inundacion,media,ricardo,real
Se desbordó el río La Union y durante algunas horas estuvo cerrado.,inundacion,baja,ricardo,real
Se desbordó el río Cazones. El agua afecta a varias localidades.,inundacion,media,ricardo,real
Se desplomó un jet de la Fuerza Aérea en  #Veracruz- #México y dejó 6 oficiales muertos.,otro,baja,ricardo,real
Se escuchó como tronó un transformador en la Col. Cazones de Poza Rica y se fue la luz.,caida_poste_cable,media,ricardo,real
Se está incendiando camión al lado del Fraccionamiento Dreams Lagoons en carretera federal puerto de Veracruz - Xalapa,incendio,media,ricardo,real
Se está incendiando mi vivienda en colonia José Vasconcelos de Xalapa.,incendio,alta,ricardo,real
Se está incendiando tráiler en la autopista Xalapa-Perote tráfico parado.,incendio,media,ricardo,real
"Se está incendiando un camión urbano en un fraccionamiento en Boca del Río, Veracruz",incendio,media,ricardo,real
"Se está incendiando un vehículo en la carretera Xalapa-Veracruz, a la altura de Corral Falso, en Emiliano Zapata,",incendio,media,ricardo,real
Se está incendiando una camioneta en Avenida Américas a la altura de niños héroes #Xalapa,incendio,media,ricardo,real
Se está incendiando una casa en la avenida Araucarias #Xalapa,incendio,alta,ricardo,real
Se esta quemando transformador en colonia La Patria pegada al Renacimiento al norte de la ciudad y puerto de Veracruz.,caida_poste_cable,media,ricardo,real
"Se incendia poste en Ejercito Mexicano a la altura de la #CocaCola en Boca del Río, Veracruz",caida_poste_cable,media,ricardo,real
"Se incendió un camión urbano en un fraccionamiento en Boca del Río, Veracruz",incendio,baja,ricardo,real
"Se incendió un poste en la Avenida Ejército Mexicano, en Boca del Río, Veracruz.",caida_poste_cable,baja,ricardo,real
Se prendió el cerro en Papantla veracruz,incendio,media,ricardo,real
"Se registró un deslave en el cerro El Arenal, ubicado en la carretera a Teocelo, en #Veracruz.",deslave,media,ricardo,real
"Se solicita el apoyo de la ciudadanía para la localización de los sujetos que se muestran en el video, quienes ingresaron a un establecimiento el dia 14 de junio del presente año en Misantla Veracruz.",otro,baja,ricardo,real
"Se ve que es una manzana inundada, no varios municipios, y aún se ven los coches, en Veracruz llegó a la mitad del segundo piso",inundacion,baja,ricardo,real
"Señora de 51 años falleció al sufrir un infarto cuando caminaba rumbo a su casa; se desvaneció repentinamente, aunque los vecinos pidieron auxilio, ya no contaba con signos vitales",otro,baja,ricardo,real
Solicito apoyo de bomberos urgente en el kilómetro 294 con dirección Veracruz que entren en sentido contrario del trébol de Amatlán se está incendiando un autobús,incendio,alta,ricardo,real
"Taxi #20 de Rincónada se sale de la Carretera, derivado de los baches y el mal estado de la carretera",otro,media,ricardo,real
Taxi se cayó desde puente “joroba”; una mujer está atrapada,persona_en_riesgo,alta,ricardo,real
"Trabajadores de una empresa de cable provocaron el incendio de un poste en Arco Sur, en #Xalapa.",incendio,media,ricardo,real
Tráiler se está incendiando en la pista a Perote a la altura de Tlacolulan,incendio,media,ricardo,real
Tráiler se prendió en llamas tras volcar en la autopista #Perote-#Xalapa a la altura de Linderos,incendio,media,ricardo,real
Trailero embiste Nissan Tsuru contra  camioneta de carga.,otro,media,ricardo,real
Transformador de alta tensión con cables expuestos se encuentra en el callejón JJ Herrera en el #centrohistorico de  la ciudad de #Veracruz vecinos piden reparación,caida_poste_cable,media,ricardo,real
"Tras el paso de los fenómenos #Raymond y #Priscila en Poza Rica, #Veracruz, dos adultos mayores quedaron atrapados en la inundación.",persona_en_riesgo,alta,ricardo,real
"Tras la fuerte lluvia registrada esta tarde se desbordó Río Verde, localizado entre San José Acateno, Puebla y Tlapacoyan, Veracruz",inundacion,media,ricardo,real
"Tras la tormenta de esta tarde en Xalapa, un deslave de tierra afectó la calle 3 en la colonia El Sumidero.",deslave,media,ricardo,real
Tres hombres quedaron atrapados por alud de tierra cuando trabajaban en una excavación en la calle Faisán de la colonia Jardines de Bambú,persona_en_riesgo,alta,ricardo,real
"Truena a las 8am transformador. Sin luz colonias Flores Magón, Moderno y algunas zonas de la Zapata: ciudad de Veracruz",caida_poste_cable,media,ricardo,real
"Un #camión de carga se está #incendiando en la #autopista #Puebla-#Orizaba, antes de la caseta de cobro de Amozoc y en los carriles con dirección a Veracruz.",incendio,media,ricardo,real
"Un accidente se registró sobre el bulevar Manuel Ávila Camacho, donde un automóvil terminó sobre la banqueta tras derribar un poste.",caida_poste_cable,media,ricardo,real
Un automóvil derribó un poste sobre la Av. Murillo Vidal a la altura del Museo Kaná en dirección a Lázaro Cárdenas,caida_poste_cable,media,ricardo,real
"Un automovilista en estado de ebriedad chocó contra un poste de la CFE en la colonia Puerto México, dejando sin energía eléctrica a la zona.",caida_poste_cable,media,ricardo,real
"Un camión de carga, perteneciente a la empresa ODS Transportes, partió por la mitad un poste de Telmex al enganchar los cables con su unidad",caida_poste_cable,media,ricardo,real
Un camión se está incendiando sobre la avenida Arco Sur a la altura de Plaza Patio #Xalapa.,incendio,media,ricardo,real
Un derrumbe por lluvias destruyó el camino al panteón municipal y dejó incomunicada a nuestra comunidad de La Quinta.,deslave,media,ricardo,real
"Un deslave dañó un ducto de @Pemex y provocó un derrame de #hidrocarburos en el río #Pantepec, en #Veracruz.",deslave,media,ricardo,real
"Un enorme camión estuvo a punto de caer a un deslave carretero a la altura del municipio Ixhuatlán del sureste, #Veracruz.",deslave,media,ricardo,real
"Un hombre perdió la vida luego de recibir una descarga eléctrica mientras realizaba labores en un poste de energía de la Comisión Federal de Electricidad (CFE) en la comunidad de Paso Ganado La Loma, en Veracruz.",otro,baja,ricardo,real
Un paracaidistas está atrapado en antena del Cerro de las Antenas,persona_en_riesgo,alta,ricardo,real
"Un severo deslave encendió las alarmas en el complejo ""Casas del Bienestar"" del puerto de Veracruz, inaugurado en febrero pasado por el Infonavit, dejando al descubierto posibles",deslave,media,ricardo,real
Las lluvias de las últimas horas en #Veracruz ocasionaron que se deslavaran calles de Bosques,deslave,media,ricardo,real
Un transformador está sacando chispas en la calle Campero y Cuauhtémoc.,caida_poste_cable,media,ricardo,real
Una camioneta repartidora se quedó sin frenos y se salió del acotamiento sobre Lazaro cardenas a a la altura de las estancias garnica con dirección a cristal. impactando a un poste  de CFE .,caida_poste_cable,media,ricardo,real
Una camioneta volcó en Lázaro Cárdenas #Xalapa con dirección a Las Trancas.,otro,media,ricardo,real
Una mujer de edad adulta cayó en una alcantarilla abierta ubicada sobre la calle 16 de septiembre entre Juárez y Madero,persona_en_riesgo,alta,ricardo,real
"Una mujer perdió la v!da tras sufrir un accidente en moto sobre Periférico, a la altura de la Privada de Húzares, en #Veracruz.",otro,baja,ricardo,real
"Una persona murió después de que se registró un deslave por las fuertes lluvias en la zona de Zacatlamanca II, en Veracruz",otro,baja,ricardo,real
Una señora y su hijo quedaron atrapados en fuerte accidente en Lázaro cárdenas un autobús de la línea interbus los golpeó al quedarse sin frenos.,persona_en_riesgo,alta,ricardo,real
Urge auxilio para 2 motociclistas accidentados en la carretera Veracruz-Xalapa a la altura de tamarindo. No hay ambulancias aún. Se ven muy mal. Ayuda @c4_ver,persona_en_riesgo,alta,ricardo,real
"Urge unidad de bomberos, se está incendiando el pastizal atrás de la escuela primaria de El Campanario.",incendio,alta,ricardo,real
"Va más de una hora que tronó un transformador en la Col. Cázares de Poza Rica, es la hora en que no contestan los teléfonos.",otro,baja,ricardo,real
"Varios vehículos quedaron atrapados en medio de las inundaciones en Xalapa, Veracruz.",persona_en_riesgo,alta,ricardo,real
Vecinos de Arboledas del Sumidero solicitan cambio de transformador a CFE ante constantes fallas eléctricas,otro,baja,ricardo,real
VialidadXalapa poste caído en la carretera xalapa- veracruz a la altura del retén,caida_poste_cable,media,ricardo,real
"Volcadura sobre la carretera Boca del Río–Córdoba, a la altura de El Mangal",otro,media,ricardo,real
"Ya bajó el agua, pero así se registraron encharcamientos en la zona conurbada de #Veracruz,",inundacion,baja,ricardo,real
"Nos dijeron que no había riesgo, que todo estaba bajo control. Hoy muchos perdimos todo, incluso a nuestros animales",otro,media,nahum,real
"Accidente en la pista México-Veracruz, sentido Veracruz, km 232+500. Un tráiler se incendia, el operador, falleció al quedar prensado y calcinado. Se recomienda tomar rutas alternas y permitir el paso a los cuerpos de emergencia. ¡Precaución!",persona_en_riesgo,alta,nahum,real
"Vehículos de carga protagonizaron fuerte accidente vehícular en Martínez de la Torre, luego de la colisión al menos 7 personas resultaron lesionadas, mismas que fueron asistidas por personal de emergencias",persona_en_riesgo,media,nahum,real
"Se descarriló el tren de pasajeros Interoceánico en el Istmo. Este domingo se descarriló el tren de pasajeros Interoceánico, a 5 kilómetros al sur de Nizanda, perteneciente a Asunción Ixtaltepec, Oaxaca. Se reportan heridos, el tren había partido de Salina Cruz, Oaxaca, y se dirigía a Coatzacoalcos, Veracruz.Unidades de emergencias se encuentran cerca de la zona, pero el difícil acceso al lugar complica las labores de rescate.",persona_en_riesgo,alta,nahum,real
"Pipa con dos contenedores de combustible volcó y explotó en la autopista México-Veracruz, a la altura del límite con Tlaxcala.",incendio,alta,nahum,real
saben si pasa algo en plaza ánimas dicen que hay muchos policias.,otro,baja,nahum,real
Ahora también atendemos tu emergencia desde la aplicación móvil Emergencias Veracruz,otro,baja,nahum,real
Vuelca automóvil en la carretera Xalapa-Veracruz a la altura del Lencero.,otro,media,nahum,real
"Se acaba de volcar un auto en la Av Paris, entre Mondavi y Villanova. Están ayudando los vecinos a sacar a los ocupantes.",persona_en_riesgo,alta,nahum,real
"Se solicita apoyo de bomberos, camioneta se incendia en Circuito Presidentes.",incendio,media,nahum,real
"Persona atropellada en Araucarias Esq Fresnos, urge ambulancia.",persona_en_riesgo,alta,nahum,real
Motociclistas accidentados a la altura de la araucaria.,persona_en_riesgo,media,nahum,real
Grave accidente en la carretera Xalapa-Laa Vigas. Precaución,otro,media,nahum,real
Hay un caballo suelto en Arco Sur. Precaución. Nos apoyan por favor con este reporte??,otro,baja,nahum,real
Accidente frente al Onofre de Cumbres. Motociclista lastimado.,persona_en_riesgo,media,nahum,real
Tránsito detenido en Lázaro Cárdenas por accidente frente a Sams,otro,baja,nahum,real
