texto,categoria,urgencia,origen
"Esta tarde se reportan presuntas denotaciones de armas de fuego en las instalaciones de Plaza Américas, en Boca Del Río, Veracruz. Al punto arriban cuerpos de emergencia y policiacos.",otro,media,real
¡Tráiler termina volcado en la autopista 150D! Cierre parcial provoca caos vial rumbo a Córdoba,otro,media,real
"En la carretera Xalapa dirección  a Coatepec hay un deslave antes de llegar a la Plaza Orquídeas, que inhabilita uno de los carriles",deslave,media,real
"Varios vehículos quedaron atrapados en medio de las inundaciones en Xalapa, Veracruz.",inundacion,media,real
"Se desploma avioneta que trasladaba ayuda a Poza Rica Se registró la caída de una avioneta que transportaba ayuda humanitaria hacia el municipio de Poza Rica, Veracruz, zona severamente afectada por las inundaciones.",otro,media,real
Una camioneta volcó en Lázaro Cárdenas #Xalapa con dirección a Las Trancas.,otro,media,real
"MUJER MOTOCICLISTA DERRAPA EN LA CARRETERA VERACRUZ–XALAPA, A LA ALTURA DE LAS AMAPOLAS",persona_en_riesgo,media,real
"Elementos de Guardia Nacional le solicitaron a los manifestantes, paso ya que viene una persona en una ambulancia en estado grave. Los manifestantes se negaban, decían que avanzara sin embargo, pues a lo largo de después de varios minutos de dialogar, decidieron abrir unos momentos un solo carril para que pasara la ambulancia.",otro,media,real
"Vecinos reportan que sobre el bulevar Miguel Alemán, a la altura de El Morro en Boca del Río, varias zonas permanecen sin alumbrado público esta noche, generando poca visibilidad y riesgo para peatones y automovilistas.  Se solicita la pronta atención de las autoridades correspondientes para restablecer la iluminación y prevenir accidentes.",otro,baja,real
"Un accidente se registró sobre el bulevar Manuel Ávila Camacho, donde un automóvil terminó sobre la banqueta tras derribar un poste.",caida_poste_cable,media,real
"Se escucha una fuerte balacera, pero… ¡No es Culiacán, es Tuxpan! Veracruz vive momentos de incertidumbre y caos",otro,media,real
"Una mujer perdió la v!da tras sufrir un accidente en moto sobre Periférico, a la altura de la Privada de Húzares, en #Veracruz.",persona_en_riesgo,alta,real
A la altura de la Col 21 de Marzo hay un bloqueo....tome sus precauciones #Xalapa,otro,baja,real
"Una mujer encaró y retuvo a un hombre, a quien señala de acosar y agredir a su hija menor de edad",otro,media,real
"Esta tarde se suscitó un fuerte accidente en el municipio de Alvarado, esto luego de que un automóvil perdiera el control y se estampara contra el muro de un punte, afortunadamente el automóvil no callo al río, pues con el impacto y lo macizo del muro rebotó para quedar desbaratado sobre la carpeta asfáltica. En el accidente un masculino salió severamente lesionado y dos más con golpes en tórax y en la cabeza, trasladados inmediatamente al hospital general de la ciudad y puerto de Veracruz.",persona_en_riesgo,alta,real
"llueve esta noche en la zona norte de la ciudad de Veracruz, manejen con precaución",otro,media,real
"Accidente de autobús turístico deja 3 muertos y 26 heridos en Veracruz Los hechos ocurrieron la madrugada de hoy sobre la autopista La Tinaja - Cosoleacaque,  a la altura del entronque La Tinaja, en el municipio de Tlalixcoyan",persona_en_riesgo,alta,real
"Accidente sobre la autopista Puebla-Orizaba a la altura del km 230 aprox, pasando tramo de deslave con dirección a Puebla.",otro,media,real
"El temporal lluvioso seguirá afectando a Veracruz con lluvias intensas, tormentas eléctricas y posible granizo. Autoridades alertan por riesgo de inundaciones, deslaves y crecida de ríos, por lo que piden extremar precauciones.",inundacion,media,real
"Se registra fuerte incendio en casa habitación Vecinos reportan un incendio en un domicilio ubicado en Agustín Yáñez 3507, colonia Cultural. Elementos de emergencia ya se encuentran en el lugar. Se recomienda tomar precauciones si circula por la zona.",incendio,media,real
Indigente de 75 años muerto en la colonia El Moral en Xalapa,persona_en_riesgo,alta,real
Se cayó la barda de Geo Los Pinos 2 en la zona de las canchas.,deslave,media,real
"Cierre total por deslave de talud en km 231 autopista Puebla - Orizaba, dirección Puebla. Alternativa: km 263, desvío a Carretera libre, a la altura de Nogales.",deslave,media,real
"SE DESBORDA RÍO. Esta tarde a causa de las fuertes lluvias, se desbordó el río #Orizaba en #Veracruz, por lo que impidió el paso tanto a los transeúntes como a los vehículos.",inundacion,media,real
"Taxi #20 de Rincónada se sale de la Carretera, derivado de los baches y el mal estado de la carretera",otro,media,real
"Poste caído en Ejército Mexicano viniendo de plaza Las Américas en Boca del Río, Veracruz antes del mercado de La Boticaria.",caida_poste_cable,media,real
"Un incendio consumió un yate la tarde de este sábado en la zona de El Estero, en el municipio de Alvarado, Veracruz... de acuerdo con el reporte de personas que navegaban cerca, escucharon un fuerte estruendo y, minutos después, observaron cómo la embarcación comenzaba a incendiarse rápidamente",incendio,media,real
Acaba de explotar un transformador en Fraccionamiento Casas Ponti en el puerto de Veracruz.,caida_poste_cable,media,real
vecinos de la Colonia Centro informan que nuevamente personas en situación de calle provocaron este incendio en esta propiedad abandonada es avenida González esquina Alacio Pérez de la Colonia Centro en la ciudad de Veracruz.,incendio,media,real
"En la entrada de la colonia Las Fuentes, en #Xalapa, un taxi quedó atorado en la corriente de agua que lo cubría casi en su totalidad.",inundacion,media,real
"Nuevamente gente irresponsable prendió fuego a basura acumulada en el paso de ganado (antiguo túnel) del puente Divertiplaza, en fraccionamiento Del Norte. El fuego empieza a expandirse y podría llegar a cables y postes de telefonía y de televisión por cable.",incendio,media,real
"Señora de 51 años falleció al sufrir un infarto cuando caminaba rumbo a su casa; se desvaneció repentinamente, aunque los vecinos pidieron auxilio, ya no contaba con signos vitales",persona_en_riesgo,alta,real
Inundación en colonia Constitución en El Sumidero #Xalapa #PlanTajin,inundacion,media,real
Las fuertes lluvias provocaron el colapso de la carretera que conecta a Veracruz con Chiapas.,dano_estructural,media,real
"Un automovilista en estado de ebriedad chocó contra un poste de la CFE en la colonia Puerto México, dejando sin energía eléctrica a la zona.",dano_estructural,media,real
Escuchamos una fuerte explosión de tranformador en rebsamen y nos dejó sin luz a toda la avenida,caida_poste_cable,media,real
Con lesiones graves resultaron dos empleados aduanales que fueron atropellados por un vehiculo militar en el centro de veracruz.,persona_en_riesgo,alta,real
"Cable de luz energizado y suelto en calle 4 entre Sánchez Tagle y Echeven #727, #Veracruz.",caida_poste_cable,media,real
Se está incendiando mi vivienda en colonia José Vasconcelos de Xalapa.,incendio,media,real
Adulto mayor pierde la vida al volante y su camioneta termina impactada contra una vivienda en Xalapa,persona_en_riesgo,alta,real
"En este momento se registra un incendio de pastizal en las inmediaciones del fraccionamiento Valle Alto, al poniente de la ciudad de Veracruz. Con las ráfagas de aire, este se está expandiendo por lo que vecinos piden ayuda para controlarlo y apagarlo.",incendio,media,real
Camioneta volcó al chocar contra poste en la carretera Xalapa - Totutla a la altura de La Laja (Tlaltetela).,otro,media,real
Dos personas que viajaban en la moto resultaron lesionadas y requirieron atención de los cuerpos de emergencia que arribaron al punto.,persona_en_riesgo,alta,real
Una Avioneta aterriza de Emergencia en la autopista Tuxpan-Veracruz. Los pasajeros resultaron ilesos.,otro,baja,real
"Un enorme camión estuvo a punto de caer a un deslave carretero a la altura del municipio Ixhuatlán del sureste, #Veracruz.",deslave,baja,real
"Un #camión de carga se está #incendiando en la #autopista #Puebla-#Orizaba, antes de la caseta de cobro de Amozoc y en los carriles con dirección a Veracruz.",incendio,media,real
"Apoyo TRANSFORMADOR EXPLOTÓ, en Guadalupe Victoria, entre Carlos Cruz y Juan Soto, Col. Centro, VERACRUZ, VER",caida_poste_cable,media,real
"Fallece el ciudadano tras 38 días de protesta pacífica en Plaza Lerdo de Xalapa, Veracruz",persona_en_riesgo,alta,real
"Se cayó un poste de telmex y otro está por caer esta en Calzada Veracruz y Calle Yucatán, Col San Bartolo.",caida_poste_cable,media,real
"Cierran autopista Puebla-Veracruz, en Cumbres de Maltrata, tras accidentes vialesLos percances ocurrieron a la altura del primero y segundo túnel en dirección a Veracruz.",otro,media,real
Tragedia en Veracruz: un hombre murió electrocutado al tocar un cable de alta tensión que llevaba días colgando Vecinos piden atención urgente de autoridades.,persona_en_riesgo,alta,real
"Precaución, derrumbe en la carretera antigua Xalapa-Coatepec, metros antes de la entrada a Las Hayas.",deslave,media,real
"Quema de llantas habría provocado el gran incendio en la colonia Ricardo Flores Magón en Boca del Río, el siniestro ya se avista en distintos puntos del municipio. Tome sus precauciones.",incendio,media,real
"Trabajadores de una empresa de cable provocaron el incendio de un poste en Arco Sur, en #Xalapa.",incendio,media,real
Derrumbe en la carretera Orizaba-Zongolica bloquea impide acceso a la sierra,deslave,media,real
El canal de aguas negras que circula sobre la carretera #Xalapa - #Veracruz a la altura de Plaza Animas se desbordó,otro,media,real
"Fuerte incendio acá en Lomas del Ángel pegado a la Reserva 4, para que manden a los bomberos, es pura basura lo que se está quemando y el humo, mucha precaución.",incendio,media,real
Se Registra un fuerte incendio en la reserva 3 Se solicita a bomberos para sofocar,incendio,media,real
Poste de alta tensión a punto de colapsar en Paseo del Halcón esquina Kiwi de la Reserva Tarimoya 1. En la ciudad de #Veracruz,caida_poste_cable,media,real
"En la colonia  21 de abril (calle 1) veracruz, ver. estamos sin luz nuevamente @CFEmx  hace caso omiso a cambiar ese transformador, por favor  @televertv ayuda!!",caida_poste_cable,media,real
"Esta noche se registró el incendio de una vivienda ubicada detrás de las tiendas 3B en Naranjos, Veracruz. Elementos del cuerpo de bomberos de Pemex ya se encuentran en el lugar realizando las labores para sofocar las llamas y evitar que el fuego se propague.",incendio,media,real
Hombre de la tercera edad es atropellado sobre la avenida Ejército Mexicano,persona_en_riesgo,alta,real
Vuelca automóvil en la carretera Xalapa-Veracruz a la altura del Lencero.,otro,media,real
Reporte  Accidente de moto en la autopista Veracruz -cardel ala altura del puente de divertiplaza,otro,media,real
Solicitamos ayuda aquí en Lafragua y Horacio Díaz Correa de la colonia Zaragoza debido a que hay cables caídos y no demora en haber un accidente. Ojalá atiendan esto rápido porque los carros y las motos siguen pasando.,caida_poste_cable,media,real
Las intensas lluvias de las últimas horas en diversas regiones de Veracruz dejaron inundaciones y deslaves con crecida de ríos y arroyos.,inundacion,media,real
"Vecinos del Infonavit Las Brisas reportan un registro sin tapa en el cruce de las calles Víctor Sánchez Tapia y Guillermo Héctor Rodríguez, lo que representa un riesgo para automovilistas, motociclistas y peatones. Refieren que, con las lluvias la calle podría inundarse y el registro quedar oculto, aumentando el peligro de que ocurra un accidente.",otro,media,real
"Hay un fuerte incendio en la calle Melchor Ocampo de San Andrés Tuxtla, Veracruz, México",incendio,media,real
"Precaución rumbo a Santa Rosa, poste caído por la lluvia de esta tarde.",caida_poste_cable,media,real
"Taxi varado por inundación en la entrada a Infonavit Las Vegas, en Veracruz",inundacion,baja,real
"Se acaba de caer parte del techo del nuevo mercado de artesanías aquí en el malecón, aún no llegan las autoridades y afortunadamente no hubo lesionados.",dano_estructural,media,real
Un camión se está incendiando sobre la avenida Arco Sur a la altura de Plaza Patio #Xalapa.,incendio,media,real
"Se incendió un poste en la Avenida Ejército Mexicano, en Boca del Río, Veracruz.",caida_poste_cable,media,real
Una camioneta repartidora se quedó sin frenos y se salió del acotamiento sobre Lazaro cardenas a a la altura de las estancias garnica con dirección a cristal. impactando a un poste  de CFE .,otro,media,real
Fuga de gas y escombros en Álamo Temapache Álamo Temapache sigue lidiando con inundaciones y escombros. La nueva emergencia es la evacuación del ejido Flores Magón debido a una peligrosa fuga de gas en la carretera.,otro,media,real
"Explota pipa sobre la carretera federal México–Veracruz, a la altura del municipio de Hueyotlipan: Cierran carriles hacia Calpulalpan",incendio,media,real
"Por deslave, unidades quedan varadas en el puente ubicado en el kilómetro 13.5, frente a la Nueva Aduana del puerto de Veracruz.",deslave,media,real
Motociclista repartidor de pizza fallecido en Torrentes Aeropuerto tras volarse un tope e impactar contra poste,persona_en_riesgo,alta,real
"Un aparatoso accidente entre dos camiones del transporte público dejó 14 personas lesionadas, entre ellas un menor de edad, la tarde de este jueves en la colonia Ignacio Zaragoza. El percance ocurrió en el cruce de las avenidas Simón Bolívar y Flores Magón, donde colisionaron una unidad de la Ruta 6 y un camión de la línea Ulúa, lo que movilizó a cuerpos de emergencia y corporaciones de seguridad.",persona_en_riesgo,alta,real
"Se registra un accidente en el Metropolitano a la altura de la estación Carnaval y Moreyra. Se recomienda tomar precauciones si se dirige por el sector, ya que podría presentarse congestión en los alrededores mientras se atiende la emergencia.",otro,media,real
"Reportan balacer4, al menos 5 personas bale4das en la comunidad de Montegordo del municipio de Tecolutla, Veracruz.",persona_en_riesgo,alta,real
"Hay una persona fallecida dentro de un domicilio en la calle Independencia, junto a la Quinta de Las Rosas, en #Xalapa.",persona_en_riesgo,alta,real
Se incendia una casa en Dos Bahías y Viento Maestral de la colonia Astilleros en Veracruz. Ciudadanos intentan apagar el fuego mientras cuerpos de auxilio se movilizan al lugar.,incendio,media,real
"Cae la barda del salón de eventos 'Los Encinos', en Ceiba esquina Tulipanes, colonia UNE PRI, #Xalapa.",dano_estructural,baja,real
Mande atender deslave grave en la carretera Coatepec-Xalapa antes de que surja un socavón con toque “jarocho”,deslave,media,real
"Se registra el incendio de una vivienda en la calle Artesanos, entre Donato Casas y Josefa Ortiz de Domínguez, en la colonia Villa Rica, en Boca del Río. Vecinos y elementos de la Policía ya se encuentran en el lugar intentando sofocar las llamas, mientras se espera el arribo de los cuerpos de Bomberos. Se recomienda evitar la zona y permitir el paso de las unidades de auxilio.",incendio,media,real
"Un camión de carga, perteneciente a la empresa ODS Transportes, partió por la mitad un poste de Telmex al enganchar los cables con su unidad",caida_poste_cable,media,real
¡URGENTE! Deslave en entrada a Fracc. Las Fuentes #Xalapa impide paso; coches derrapan. Peligro de accidentes.,deslave,media,real
"Se incendia vehículo compacto a un costado de la Plaza del Mar, cerca del bulevar Fidel Velázquez. Ya se movilizan cuerpos de rescate y auxilio.",incendio,baja,real
Se está incendiando camión al lado del Fraccionamiento Dreams Lagoons en carretera federal puerto de Veracruz - Xalapa,incendio,media,real
Se incendia un departamento en Lomas de Río Medio Cuatro; vecinos están tratando de sofocar el siniestro en lo que llegan bomberos.,incendio,media,real
Choque en el bulevar Córdoba–Fortín deja una persona lesionada,persona_en_riesgo,alta,real
"SE REGISTRA CARAMBOLA EN EL LIBRAMIENTO SUR; REPORTAN PERSONAS ATRAPADAS Accidente la mañana de este jueves sobre el Libramiento Sur, altura del puente de la llantera Jaramillo (dirección hacia la 5 y 10) Participación preliminar de al menos 20 vehículos Lesionados y atrapados: 54 personas siendo valoradas por cuerpos de rescate Al menos 8 personas podrían permanecer atrapadas en los vehículos",persona_en_riesgo,alta,real
"Un hombre perdió la vida la madrugada de este sábado en Coatzacoalcos, tras ser arrastrado por una corriente pluvial.",persona_en_riesgo,alta,real
Se desbordó el río La Union y durante algunas horas estuvo cerrado.,inundacion,media,real
Accidente frente al Onofre de Cumbres. Motociclista lastimado.,persona_en_riesgo,alta,real
"Derrumbe y socavón en la carretera de Chiltoyac, informando Comunicación Social de Xalapa.",deslave,media,real
"18 alumnos se lesionaron tras desplomarse las gradas durante la foto de graduación de la Facultad de Derecho de la Universidad Veracruzana en #Xalapa, #Veracruz",persona_en_riesgo,alta,real
"El basurero a cielo abierto de Veracruz que se está incendiando y con los vientos del norte, está afectando la ciudad de #Veracruz",incendio,media,real
𝗗𝗢𝗦 𝗠𝗘𝗡𝗢𝗥𝗘𝗦 𝗥𝗘𝗦𝗨𝗟𝗧𝗔𝗡 𝗟𝗘𝗦𝗜𝗢𝗡𝗔𝗗𝗢𝗦 𝗧𝗥𝗔𝗦 𝗗𝗘𝗥𝗥𝗔𝗣𝗘 𝗘𝗡 𝗟𝗔𝗦 𝗩𝗜𝗚𝗔𝗦,persona_en_riesgo,alta,real
"Precaución en el puente de La Puentecilla Habitantes reportan esta tarde el deterioro del puente conocido como Puentecilla, que comunica la localidad de Dos Ríos con Santa Ana. Automovilistas, motociclistas y moto taxistas señalan que la estructura presenta daños, lo que representa un riesgo para quienes transitan por la zona. Ya que está desbordado el río",dano_estructural,media,real
"Siguen los incendios, al parecer provocados, habitantes de los fraccionamiento Lomas de Río Medio III, nos comparten este siniestro que los mantiene con preocupación, se encuentran a la espera de la llegada de los cuerpos de emergencias.",incendio,media,real
"En este momento está bloqueada la autopista Minatitlán - Acayucan, a la altura del Km 24 , en el municipio de Jáltipan.",otro,baja,real
"Seguidores nos informan que el hombre que aparece en el video tiene rato caminando de manera inusual presuntamente por algún padecimiento mental. Automovilistas y peatones alertan que de manera repentina invade los carriles de circulación con riesgo de ser atropellado. Además que policías ya han acudido para auxiliarlo, pero este sale corriendo. Última ubicación por la zona de la avenida Salvador Díaz Mirón y Leopoldo Kiel de la colonia Del Maestro, referencia: entre Chedraui plaza Crystal y la clínica 71 del Imss de Díaz Mirón",otro,media,real
"Tras la fuerte lluvia registrada esta tarde se desbordó Río Verde, localizado entre San José Acateno, Puebla y Tlapacoyan, Veracruz",inundacion,media,real
"Chofer choca contra un poste y huye del lugar, sucedió en Fracc. Puente Moreno, cerca de las oficinas de la procuraduría.",otro,media,real
"Un seguidor de Veracuz en Alerta nos reporta que desconocidos provocaron un incendio al quemar basura en el camellón de avenida Díaz Mirón, mismo que se estaba saliendo de control. Un conductor de autobuses Ulúa se detuvo para intentar controlar el fuego con un extintor.",incendio,media,real
Ahora también atendemos tu emergencia desde la aplicación móvil Emergencias Veracruz,otro,baja,real
"Derrumbe en la zona del deslave de #CumbresDeMaltrata km 231, el operador de la maquinaria resultó lesionado.",persona_en_riesgo,alta,real
"Vecinos del Fraccionamiento Lomas de Río Medio Tres, alertan que sobre la avenida Río Era, dentro de la cochera de un domicilio hay un perro f@llEc!d0 que esta @m@rr@d0 con una cuerda. Los reportes informan que ya al menos cuatro personas han tocado a la puerta para alertar a los inquilinos, pero estos no salen. Muchas personas piden ayuda.",otro,media,real
DESCARRILAMIENTO EN CÓRDOBA DEJA MILES DE TONELADAS EN EL SUELO,otro,media,real
"Falleció mujer tras caer de un tercer piso en la colonia Los Puentes, de #Xalapa.",persona_en_riesgo,alta,real
Motociclista sufre accidente sobre el puente Bicentenario de Ejército Mexicano con dirección a La Boticaria. Circule con precaución.,persona_en_riesgo,alta,real
Se prendió el cerro en Papantla veracruz,incendio,media,real
Se está incendiando una casa en la avenida Araucarias #Xalapa,incendio,media,real
"Un fuerte incendio acabó con una vivienda ubicada en el Barrio de Guadalupe, en Las Vigas de Ramírez esta madrugada. Bomberos acudieron de inmediato, siendo controlada la situación tras varios minutos de maniobras. Dos personas resultaron le$ionadas y tuvieron que ser llevadas a un hospital cercano.",incendio,media,real
¡Se desborda el río Tolome! Intensas lluvias provocan afectaciones en Veracruz,inundacion,media,real
"Choca tractocamión en las cumbres de #Maltrata, cierran circulación hacia Mendoza",otro,media,real
Accidente de tráiler sobre la carretera federal La #Tinaja–#Coatzacoalcos,otro,media,real
"Tengan cuidado vecinos con estos dos ladrones, esto fue en una tienda en Hacienda El Cortijo de Tejería en ciudad de Veracruz, andan en moto, fue hoy alrededor de la 1 de la tarde.",otro,media,real
Se desplomó un jet de la Fuerza Aérea en  #Veracruz- #México y dejó 6 oficiales muertos.,persona_en_riesgo,alta,real
"Madrugada violenta en Acultzingo, Veracruz. Un ataque armado fue reportado sobre la carretera federal Orizaba–Tehuacán, a la altura del puente Acultzingo ll, donde un vehículo terminó rafagueado en plena vía de comunicación. Hasta el momento se desconoce la identidad de los ocupantes, así como si hubo personas fallecidas o lesionadas tras la agresión.",persona_en_riesgo,alta,real
"Inundación en Lázaro Cárdenas a la altura de la Hernández Castillo en #Xalapa, algunos vehículos quedaron atrapados",inundacion,media,real
Solicito apoyo de bomberos urgente en el kilómetro 294 con dirección Veracruz que entren en sentido contrario del trébol de Amatlán se está incendiando un autobús,incendio,media,real
Terribles momentos  por el desbordamiento del río Cazones que ha inundado varias zonas de la ciudad.,inundacion,media,real
"Volcadura sobre la carretera Boca del Río–Córdoba, a la altura de El Mangal",otro,baja,real
"Buenas noches, acabo de pasar por la calle Leonardo pasquel, se estaba incendiando un poste de luz y sacando chispas y ya estaba pasando a los demás postes, no había gente cerca, pasó el reporte para que ojalá se pueda evitar un accidente",caida_poste_cable,media,real
"N1ñ4 quedó atrapada en el auto porque su papá fue 3jecut4d0 a bal4z0s justo frente al Palacio Municipal de #Cosamaloapan, en #Veracruz",persona_en_riesgo,alta,real
"Urge unidad de bomberos, se está incendiando el pastizal atrás de la escuela primaria de El Campanario.",incendio,media,real
"Deslave en ""Casas del Bienestar"" de Veracruz expone presuntas fallas en la construcción",deslave,media,real
"Socavones, inundaciones y 3 mil casas afectadas en Veracruz tras el paso del frente frío 4 y la tormenta tropical Nadine. Hasta el momento, hay una persona fallecida y otra desaparecida.",persona_en_riesgo,alta,real
"La carretera federal #Fortín-#Huatusco se encuentra completamente cerrada luego de que un vehículo chocara contra un poste, el cual quedó atravesado en ambos carriles.",otro,media,real
Se desbordó el río Cazones. El agua afecta a varias localidades.,inundacion,media,real
"Deslave en el Fraccionamiento Valle Real en #Xalapa, producto de las intensas lluvias presentadas en el estado de #Veracruz  por los remanentes del sistema #Erick",deslave,media,real
"Se acaba de registrar un choque y volcadura en avenida Quevedo, frente al Tecnológico de Veracruz.",otro,media,real
Caos en la autopista Puebla-Orizaba por cierre total tras el derrumbe en las Cumbres de Maltrata,deslave,media,real
"eligro latente en Alcocer y Lucio Gallardo Pavón, de la colonia Ortíz Rubio, pues se cayó una acometida y otros cables, los carros pasa sobre el. Esperan que las autoridades lleguen pronto a dar solución.",caida_poste_cable,media,real
HOMBRE LESIONADO TRAS CONVULSIONAR CERCA DE LAS VÍAS DEL TREN EN FORTÍN,persona_en_riesgo,alta,real
Múltiples heridos y varios muertos por explosión en complejo de Pemex en Coatzacoalcos Veracruz,persona_en_riesgo,alta,real
"En este momento de registra un voraz incendio de pastizal en los límites de los fraccionamientos Puente Moreno y Arboledas San Ramón, en el municipio de Medellin De Bravo. Solicitan urgente la presencia de Bomberos y Protección Civil local. Vecinos tienen miedo que el fuego alcance sus casas.",incendio,media,real
Chocan camioneta y ambulancia frente a la Cruz Roja de Veracruz; hay dos lesionados,persona_en_riesgo,alta,real
"Hola, somos vecinos de la Riviera Veracruzana y queremos exponer  que de la Plaza Veleros ubicada en la carretera Boca del Rio- Antón Lizardo, arrojan las aguas negras a la calle y ya se imaginarán los fuertes olores fétido, además de la severa contaminación. Además de dar mal aspecto, afectan a diversos negocios de la zona.",otro,baja,real
Apagón general de energía eléctrica en todo tierra blanca y parte de la cuenta de Papaloapan debido a una falla en las líneas y se espera estar un par de horas más con los esfuerzos de la comicion federal de electricidad para restablecerla,otro,baja,real
"Reportan explosión de un ducto de Pemex, ubicado cerca de la comunidad de El Aguacate, perteneciente al municipio de Papantla, pero se ha confirmado que se trata del incendio de una granja de pollos. Cuerpos de bomberos y policíacas van al punto, se presume que halla personas lesionadas, más tarde se confirmará si hay fallecidos.",incendio,media,real
Motociclistas accidentados a la altura de la araucaria.,persona_en_riesgo,alta,real
Polvadera en la esquina de avenida Miguel Alemán y Simón Bolívar por costales de cemento tirados en medio de la calle. Vecinos y automovilistas piden ayuda de las autoridades para despejar la zona. Tome sus precauciones.,otro,media,real
Una mujer de edad adulta cayó en una alcantarilla abierta ubicada sobre la calle 16 de septiembre entre Juárez y Madero,persona_en_riesgo,alta,real
Movilización de los cuerpos de emergencia en el puente Miguel Alemán por un hombre que intenta arr0j4rs£; hay cierre de vialidades,persona_en_riesgo,alta,real
"Se acaba de volcar un auto en la Av Paris, entre Mondavi y Villanova. Están ayudando los vecinos a sacar a los ocupantes.",persona_en_riesgo,alta,real
Patrulla y motocicleta chocan en Boca del Río; pareja resulta lesionada,persona_en_riesgo,alta,real
Empleados de limpia pública golpean a una persona en Xalapa.,otro,alta,real
"Nos reportan un incendio en las inmediaciones de Nuevo Veracruz, al parecer se trata de una quema de basura. Vecinos piden ayuda de los Bomberos.",incendio,media,real
Adulto mayor fall3c3 tras sufrir un accidente mientras conducía en #Xalapa,persona_en_riesgo,alta,real
Mi vivienda se prendió en llamas en la colonia Emiliano Zapata,incendio,media,real
"Las fuertes lluvias registradas en las últimas horas en Poza Rica, Veracruz,  han provocado el desbordamiento del río Cazones, dejando calles y viviendas bajo el agua en zonas como Las Granjas.",inundacion,media,real
Aguas con un cable caído a la mitad de la calle en Madero,caida_poste_cable,media,real
"Se realiza un fuerte operativo en zona Norte en Veracruz Elementos de la Policía Ministerial , Guardia Nacional y policía estatal Causa molestia entre los vecinos y la gente que visita el centro comercial, ya que desconocen el motivo O por  razón  puede suceder y tienen miedo de que ocurra un intercambio de tiros  de alguna  gresion a ciudadanos",otro,media,real
"Alerta. Tragedia familiar en carretera de Veracruz; padre muere y sus dos hijas resultan heridas El conductor perdió la vida en el impacto contra un camión de carga, mientras su esposa y sus dos hijas fueron rescatadas con lesiones graves tras quedar prensadas.",persona_en_riesgo,alta,real
Deslave afecta la vialidad de manera parcial en la carretera #Atzalan - #Tlapacoyan la altura de Arroyo Colorado.,deslave,media,real
"Se registra un fuerte accidente sobre la carretera Veracruz–Xalapa, a la altura de Nuevo Veracruz, justo afuera de AutoZone y en la entrada hacia Las Amapolas, situación que está provocando un infernal caos vehicular en la zona.",otro,media,real
CAMIONETA SE ATRAVIESA Y PROVOCA ACCIDENTE; MADRE E HIJA LESIONADAS,persona_en_riesgo,alta,real
"Vecinos reportan que se incendió un transformador frente a la taquería Los Weros en JB Lobos,  de El Coyol, tras una descarga eléctrica en la zona conurbada. Solicitan el apoyo de las autoridades ya que los vecinos se encuentran tratando de controlar el siniestro",caida_poste_cable,media,real
"Siguen llegando a nuestro inbox los reportes del incendio en Nuevo Veracruz, presuntamente por quema de llantas. Grandes columnas de humo se observan en la zona, circule con precaución.",incendio,media,real
Presencia de Hidrocarburo en el municipio de #VegadeAlatorre #Veracruz en las playas de Higueras,otro,media,real
