texto,categoria,urgencia,etiquetador,origen
"se está incendiando una casa en el palmar, hay mucho humo y vecinos cerca",incendio,alta,generador_sintetico,sintetico
"Se cayo una bada por el aire en la calle Reforma, bloquea el paso, ojala puedan venir pronto",dano_estructural,media,generador_sintetico,sintetico
Hay mucha basura acumulada en la esquina de la farmacia por la lluvia de ayer,otro,baja,generador_sintetico,sintetico
se quema el pastizal junto a la primaria y el fuego va hacia las casas,incendio,alta,generador_sintetico,sintetico
Se está inundando la calle Allende cerca del parque y hay una señora que no puede salir,inundacion,alta,generador_sintetico,sintetico
"Se cayó un poste de luz en Miradores del Mar, en un terreno baldío, no hay nadie cerca",caida_poste_cable,media,generador_sintetico,sintetico
El techo de la bodega por el puente se daño con la lluvia y gotea feo,dano_estructural,media,generador_sintetico,sintetico
"se cayo un poste de luz en las flores, en un terreno baldio, no hay nadie cerca",caida_poste_cable,media,generador_sintetico,sintetico
El techo de la bodega por el puente se dañó con la lluvia y gotea feo,dano_estructural,media,generador_sintetico,sintetico
"Una familia quedo incomunicada en La Palma por el agua, estan bien pero no pueden salir, ojala puedan venir pronto",persona_en_riesgo,media,generador_sintetico,sintetico
"Una señora se cayo en la esquina de la farmacia y no se puede levantar, esta herida",persona_en_riesgo,alta,generador_sintetico,sintetico
Se está deslavando el cerro arriba de las casas en Playa Linda y la gente sigue adentro,deslave,alta,generador_sintetico,sintetico
"Se deslavó un poco de tierra cerca de la iglesia, nada grave pero por si quieren revisar",deslave,baja,generador_sintetico,sintetico
"Se inundó la calle Reforma en Las Flores, ya no pasan los carros",inundacion,media,generador_sintetico,sintetico
Se quema el pastizal a un lado del OXXO y el fuego va hacia las casas,incendio,alta,generador_sintetico,sintetico
"Solo aviso que hay un cable suelto atrás de la secundaria, no parece de luz",caida_poste_cable,baja,generador_sintetico,sintetico
"Se deslavó un poco de tierra en la esquina de la farmacia, nada grave pero por si quieren revisar",deslave,baja,generador_sintetico,sintetico
"Necesitamos despensas y cobijas en Playa Linda, quedamos varios sin nada, ojalá puedan venir pronto",otro,media,generador_sintetico,sintetico
"Necesitamos despensas y cobijas en El Tejar, quedamos varios sin nada",otro,media,generador_sintetico,sintetico
Una barda se está cayendo a un lado del OXXO justo donde pasan los niños de la escuela,dano_estructural,alta,generador_sintetico,sintetico
Se desbordó el canal de Río Medio y la calle Zaragoza está bajo el agua,inundacion,media,generador_sintetico,sintetico
Quería agradecer a los rescatistas que vinieron a El Zapote,otro,baja,generador_sintetico,sintetico
"Cable de luz caído y energizado en la calle Independencia, alguien lo va a tocar",caida_poste_cable,alta,generador_sintetico,sintetico
"Hay un incendio en un pastizal en las afueras de Cocolapan, lejos de las casas, les agradezco cualquier apoyo",incendio,media,generador_sintetico,sintetico
"un niño fue arrastrado por la corriente atrás de la secundaria, ayuda por favor",persona_en_riesgo,alta,generador_sintetico,sintetico
"hay una grieta grande en el muro de una casa en playa linda, se esta abriendo mas, ya nadie sabe que hacer",dano_estructural,media,generador_sintetico,sintetico
"Una barda se esta cayendo frente a la gasolinera justo donde pasan los niños de la escuela, no se a quien mas avisar",dano_estructural,alta,generador_sintetico,sintetico
"Se derrumbó el talud de la calle 16 de Septiembre, hay tierra en toda la vía",deslave,media,generador_sintetico,sintetico
"Un niño fue arrastrado por la corriente a un lado del OXXO, ayuda por favor, es en serio",persona_en_riesgo,alta,generador_sintetico,sintetico
"El muro de una vivienda en La Loma se botó y hay personas adentro, por favor manden ayuda",dano_estructural,alta,generador_sintetico,sintetico
se esta inundando la calle reforma cerca de la iglesia y hay una señora que no puede salir,inundacion,alta,generador_sintetico,sintetico
Hay mucha basura acumulada atrás de la secundaria por la lluvia de ayer,otro,baja,generador_sintetico,sintetico
"Está bajando lodo y piedras hacia las viviendas de Lomas del Sol, hay familias ahí",deslave,alta,generador_sintetico,sintetico
El muro de una vivienda en Los Pinos se botó y hay personas adentro,dano_estructural,alta,generador_sintetico,sintetico
"una señora se cayó frente a la gasolinera y no se puede levantar, está herida",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se inundó la calle Xalapa en El Coyol, ya no passan los carros, manden a alguien porfa",inundacion,media,generador_sintetico,sintetico
"Se desbordó el canal de San Rafael y la calle Independencia está bajo el agua, no sé a quién más avisar",inundacion,media,generador_sintetico,sintetico
Quedaron unas piedras en el camino de Las Brisas despues de la lluvia,deslave,baja,generador_sintetico,sintetico
"Se ahoga alguien en el arroyo de El Tejar, vengan rápido",persona_en_riesgo,alta,generador_sintetico,sintetico
"Un deslave tapo el camino a Las Brisas, no hay paso pero nadie quedo atrapado, es en serio",deslave,media,generador_sintetico,sintetico
"Está bajando lodo y piedras hacia las viviendas de Cocolapan, hay familias ahí",deslave,alta,generador_sintetico,sintetico
Se colapsó el techo de una casa en Playa Linda y creemos que hay alguien debajo,dano_estructural,alta,generador_sintetico,sintetico
Se desbordo el canal de Miradores del Mar y la calle Morelos esta baj el agua,inundacion,media,generador_sintetico,sintetico
"Hay un herido frente al mercado, se le cayo una barda encima",persona_en_riesgo,alta,generador_sintetico,sintetico
"hay una persona en silla de ruedas atrapada por el agua en la pochota, pero esta a salvo por ahora",persona_en_riesgo,media,generador_sintetico,sintetico
Quedaron unas piedras en el camino de Las Flores despues de la lluvia,deslave,baja,generador_sintetico,sintetico
"Un transformador explotó en El Zapote y los cables quedaron en la calle donde pasan carros, urge apoyo",caida_poste_cable,alta,generador_sintetico,sintetico
El agua de la lluvia se acumuló tantito en la banqueta de Zaragoza,inundacion,baja,generador_sintetico,sintetico
"Un poste quedó chueco después del norte en Playa Linda, se ve que se va a caer, no sé a quién más avisar",caida_poste_cable,media,generador_sintetico,sintetico
"¿van a abrir algún albergue por la zona de allende?, es en serio",otro,media,generador_sintetico,sintetico
"Se ahoga alguien en el arroyo de La Palma, vengan rápido",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se está incendiando una casa en Colinas de Santa Fe, hay mucho humo y vecinos cerca",incendio,alta,generador_sintetico,sintetico
"el poste de juarez esta un poco inclinado, queria reportarlo por si acaso",caida_poste_cable,baja,generador_sintetico,sintetico
"Fuego en un lote baldío en la calle Xalapa, no hay viiviendas cerca",incendio,media,generador_sintetico,sintetico
"hay una persona atrapada en el tech de una casa en el palmar, el agua sigue subiendo",persona_en_riesgo,alta,generador_sintetico,sintetico
Quería agradecer a los rescatistas que vinieron a Villa Rica,otro,baja,generador_sintetico,sintetico
Se desbordó el canal de La Pochota y la calle Independencia está bajo el agua,inundacion,media,generador_sintetico,sintetico
"Se desbordó el canal de Los Pinos y la calle 5 de Mayo está bajo el agua, les agradezco cualquier aapoyo",inundacion,media,generador_sintetico,sintetico
"Hay un encharcamiento enorme a un lado del OXXO,el agua entró a los locales",inundacion,media,generador_sintetico,sintetico
El muro de una vivienda en El Zapote se botó y hay personas adentro,dano_estructural,alta,generador_sintetico,sintetico
"¿van a abrir algun albergue por la zona de insurgentes?, es en serio",otro,media,generador_sintetico,sintetico
"Un deslave tapó el camino a Los Pinos, no hay paso pero nadie quedó atrapado",deslave,media,generador_sintetico,sintetico
"Hay un encharcamiento enorme frente al mercado, el agua entró a los locales, es en serio",inundacion,media,generador_sintetico,sintetico
Quedaron unas piedras en el camino de El Palmar después de la lluvia,deslave,baja,generador_sintetico,sintetico
"Solo quiero saber a que hora reabren las oficinas de proteccion civil, ya nadie sabe que hacer",otro,baja,generador_sintetico,sintetico
"Hay un incendio en un pastizal en las afueras de La Loma, lejos de las casas",incendio,media,generador_sintetico,sintetico
"El agua de la lluvia se acumulo tantito en la banqueta de Reforma, no se a quien mas avisar",inundacion,baja,generador_sintetico,sintetico
"Se desprendió un pedazo de aplanado junto a la primaria, cosa menor",dano_estructural,baja,generador_sintetico,sintetico
"hay una grieta grande en el muro de una casa en río medio, se está abriendo más",dano_estructural,media,generador_sintetico,sintetico
"Se está incendiando una casa en La Loma, hay mucho humo y vecinos ceca, ya nadie ssabe qué hacer",incendio,alta,generador_sintetico,sintetico
Se está  inundando la calle Juárez frente al mercado y hay una señora que no puede salir,inundacion,alta,generador_sintetico,sintetico
"Hay un herido atras de la secundaria, se le cayo una barda encima, manden a alguien porfa",persona_en_riesgo,alta,generador_sintetico,sintetico
"El agua ya se metio a la casa en El Coyol y estamos con niños en el segundo piso, les agradezco cualquier apoyo",inundacion,alta,generador_sintetico,sintetico
"Hay un cable haciendo chispas frente al mercado, la gente pasa junto, no sé a quién más avisar",caida_poste_cable,alta,generador_sintetico,sintetico
"hay un herido frente a la gaolinera, se le cayó una barda encima, manden a alguien porfa",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se esta deslavando el cerro arriba de las casas en Rio Medio y la gente sigue adentro, ojala puedan venir pronto",deslave,alta,generador_sintetico,sintetico
"el poste de allende está un poco inclinado, quería reportarlo por si acaso",caida_poste_cable,baja,generador_sintetico,sintetico
"Cayó material del cerro en Playa Linda, bloqueó media calle",deslave,media,generador_sintetico,sintetico
"solo aviso que hay un cable suelto por el puente, no parece de luz, no sé a quién más avisar",caida_poste_cable,baja,generador_sintetico,sintetico
"Fuego en un lote baldío en la calle Zaragoza, no hay viviendas cerca",incendio,media,generador_sintetico,sintetico
"La corriente en la calle Independencia está muy fuerte y arrastra cosas, hay personas cruzando, les agradezco cualquier apoyo",inundacion,alta,generador_sintetico,sintetico
"¿Van a abrir algún albergue por la zona de Zaragoza?, no sé a quién más avisar",otro,media,generador_sintetico,sintetico
"Está bajando lodo y piedras hacia las viviendas de La Loma, hay familias ahí, urge apoyo",deslave,alta,generador_sintetico,sintetico
"¿van a abrir algun albergue por la zona de juarez?, por favor manden ayuda",otro,media,generador_sintetico,sintetico
"Se derrumbo el talud de la calle Reforma, hay tierra en toda la via, les agradezco cualquier apoyo",deslave,media,generador_sintetico,sintetico
"Un niño fue arrastrado por la corriente cerca del paque, ayuda por favor",persona_en_riesgo,alta,generador_sintetico,sintetico
"Mi abuelita esta atrapada en Cocolapan, necesita su oxigeno y se fue la luz",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se esta deslavando el cerro arriba de las casas en El Palmar y la gente sigue adentro, no se a quien mas avisar",deslave,alta,generador_sintetico,sintetico
"un poste quedó chueco después del norte en el coyol, se ve que se va a caer",caida_poste_cable,media,generador_sintetico,sintetico
"Hay gente atrapada dentro de un carro en la calle Allende, el agua los tapó",persona_en_riesgo,alta,generador_sintetico,sintetico
Hubo un conato de incendio atrás de la secundaria pero los vecinos ya lo apagaron,incendio,baja,generador_sintetico,sintetico
"Hay un cable haciendo chispas frente al mercado, la gente pasa juunto",caida_poste_cable,alta,generador_sintetico,sintetico
"Se derrumbó el talud de la calle 16 de Septiembre, hay tierra en toda la vía, urge apoyo",deslave,media,generador_sintetico,sintetico
"Hay un incendio en un negocio de Rio Medio y hay gente en el edificio de arriba, manden a alguien porfa",incendio,alta,generador_sintetico,sintetico
Una barda se esta cayendo frente a la gasolinera justo donde pasan los niños de la escuela,dano_estructural,alta,generador_sintetico,sintetico
"Hay un cable haciendo chispas cerca del parque, la gente pasa junto, es en serio",caida_poste_cable,alta,generador_sintetico,sintetico
"Hay un encharcamiento enorme atrás de la secundaria, el agua entró a los locale, ojalá puedan venir pronto",inundacion,media,generador_sintetico,sintetico
"Un deslave tapó el camino a Los Pinos, no hay paso pero nadie quedó atrapado, por favor manden ayuda",deslave,media,generador_sintetico,sintetico
Se fue la luz en toda la colonia El Tejar desde hace horas,otro,media,generador_sintetico,sintetico
"Necesitamos despensas y cobijas en El Tejar, quedamos varios sin nada, es en serio",otro,media,generador_sintetico,sintetico
"Se está quemando basura acumulada frente al mercado, sale bastante humo, es en serio",incendio,media,generador_sintetico,sintetico
"Solo quiero avisar quefrente al mercado sigue encharcado desde ayer, por favor manden ayuda",inundacion,baja,generador_sintetico,sintetico
"un niño fue arrastrado por la corriente frente al mercado, ayuda por favor, por favor manden ayuda",persona_en_riesgo,alta,generador_sintetico,sintetico
"Un transformador explotó en Villa Rica y los cables quedaron en la calle donde pasan carross, ya nadie sabe qué hacer",caida_poste_cable,alta,generador_sintetico,sintetico
"Se cayó una barda por el aire en la calle Juárez, bloquea el paso, por favor manden ayuda",dano_estructural,media,generador_sintetico,sintetico
"Un deslave tapó el camino a Cocolapan, no hay paso pero nadie quedó atrapado, ojalá puedan venir pronto",deslave,media,generador_sintetico,sintetico
Cayó n derrumbe atrás de la seccundaria y hay un carro con personas debajo,deslave,alta,generador_sintetico,sintetico
"salió una grieta chica en la barda del patio en el palmar, quería reportarla, por favor manden yuda",dano_estructural,baja,generador_sintetico,sintetico
"Se deslavo un poco de tierra en la esquina de la farmacia, nada grave pero por si quieren revisar",deslave,baja,generador_sintetico,sintetico
"Se cayó una barda por el aire en la calle Hidalgo, bloquea el paso",dano_estructural,media,generador_sintetico,sintetico
"Una señora se cayo frente al mercado y no se puede levantar, esta herida",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se derrumbó el talud de la calle Independencia, hay tierra en toda la vía",deslave,media,generador_sintetico,sintetico
"¿Van a abrir algún albergue por la zona de 5 de Mayo?, ya nadie sabe qué hacer",otro,media,generador_sintetico,sintetico
"Se está quemando basura acumulada frente a la gasolinera, sale bastante humo",incendio,media,generador_sintetico,sintetico
Un transformador explotó en La Palma y los cables quedaron en la calle donde pasan caarros,caida_poste_cable,alta,generador_sintetico,sintetico
"Se está inundando la calle Allende cerca de la iglesia y hay una señora que no puede salir, ojalá puedan venir pronto",inundacion,alta,generador_sintetico,sintetico
"Salió una grieta chica en la barda del patio en El Zapote, quería reportarla",dano_estructural,baja,generador_sintetico,sintetico
"El muro de una vivienda en Las Brisas se botó y hay personas adentro, por favor manden ayuda",dano_estructural,alta,generador_sintetico,sintetico
"Estamos en la azotea de una vivienda en Las Flores, somos cuatro y no podemos bajar",persona_en_riesgo,alta,generador_sintetico,sintetico
"hay una persona en silla de ruedas atrapada por el agua en el palmar, pero está a salvo por ahora",persona_en_riesgo,media,generador_sintetico,sintetico
"Se derrumbo el talud de la calle Zaragoza, hay tierra en toda la via",deslave,media,generador_sintetico,sintetico
"Un poste quedó chueco después del norte en El Tejr, se ve que se va a caer",caida_poste_cable,media,generador_sintetico,sintetico
Hay un incendio enun negocio de La Palma y hay gente en el edificio de arriba,incendio,alta,generador_sintetico,sintetico
"fuego en un lote baldío en la calle insurgentes, no hay viviendas cerca, ya nadie sabe qué hacer",incendio,media,generador_sintetico,sintetico
"Hubo un conato de incendio cerca de la iglesia pero los vecinos ya lo apagaron, urge apoyo",incendio,baja,generador_sintetico,sintetico
"hay gente atrapada dentro de un carro en la calle 5 de mayo, el agua los tapó",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se desprendio un pedazo de aplanado ffrente al mercado, cosa menor",dano_estructural,baja,generador_sintetico,sintetico
El agua ya se metió a la casa en Villa Rica y estamos con niños en el segundo piso,inundacion,alta,generador_sintetico,sintetico
"¿Van a abrir algun albergue por la zona de Zaragoza?, no se a quien mas avisar",otro,media,generador_sintetico,sintetico
Se colapsó el techo de una casa en Villa Rica y creemos que hay alguien debajo,dano_estructural,alta,generador_sintetico,sintetico
se está incendiando una casa en la loma y dicen que hay alguien adentro,persona_en_riesgo,alta,generador_sintetico,sintetico
el muro de una vivienda en el palmar se botó y hay personas adentro,dano_estructural,alta,generador_sintetico,sintetico
Cayó un derrumbe cerca de la iglesia y hay un carro con personas debajo,deslave,alta,generador_sintetico,sintetico
"Hay una persona atrapada en el techo de una casa en El Tejar, el agua sigue subiendo",persona_en_riesgo,alta,generador_sintetico,sintetico
"Hay un herido cerca del parque, se le cayó una barda encima, ojalá puedan venir pronto",persona_en_riesgo,alta,generador_sintetico,sintetico
Se cayo un poste con los cables encima de la banqueta en Zaragoza y hay niños jugando cerca,caida_poste_cable,alta,generador_sintetico,sintetico
Se está inundando la calle Xalapa atrás de la secundaria y hay una señora que no puede salir,inundacion,alta,generador_sintetico,sintetico
"Se fue la luz en toda la colonia La Pochota desde hace horas, ya nadie sabe que hacer",otro,media,generador_sintetico,sintetico
"Solo quiero avisar que por el puente sigue encharcado desde ayer, no se a quien mas avisar",inundacion,baja,generador_sintetico,sintetico
"Un carro se prendió en fuego en la calle Independencia frente al mercado, hay tanque de gas al lado",incendio,alta,generador_sintetico,sintetico
"Se cayó un poste con los cables encima de la banqueta en 16 de Septiembre y hay niños jugando cerca,, urge apoyo",caida_poste_cable,alta,generador_sintetico,sintetico
Una barda se está cayendo frente a la gasolinera justo donde pasan los niños de la escuela,dano_estructural,alta,generador_sintetico,sintetico
"Hubo un conato de incendio junto a la primaria pero los vecinos ya lo apagaron, ojala puedan venir pronto",incendio,baja,generador_sintetico,sintetico
"Cayó material del cerro en El Palmarr, bloqueó media calle",deslave,media,generador_sintetico,sintetico
Se quema el pastizal atras de la secundaria y el fuego va haciia las casas,incendio,alta,generador_sintetico,sintetico
"En La Palma el agua nos llega al pecho y hay gente adulta mayor adentro, manden a alguien porfa",inundacion,alta,generador_sintetico,sintetico
"Se está quemando basura acumulada cerca del parque, sale bastante humo, es en serio",incendio,media,generador_sintetico,sintetico
"Se cayo un poste de luz en Cocolapan, en un terreno baldio, no hay nadie cerca",caida_poste_cable,media,generador_sintetico,sintetico
"Cayo material del cerro en Buenavista, bloqueo media calle, es en serio",deslave,media,generador_sintetico,sintetico
"Estamos en la azotea de una vivienda en Buenavista, somos cuatro y no podemos bajar",persona_en_riesgo,alta,generador_sintetico,sintetico
Hubo un conato de incendio frente a la gasolinera pero los vecinos ya lo apagaron,incendio,baja,generador_sintetico,sintetico
Queria agradecer a los rescatistas que vinieron a Villa Rica,otro,baja,generador_sintetico,sintetico
Se quema el pastizal atrás de la secundaria y el fuego va hacia las casas,incendio,alta,generador_sintetico,sintetico
"Hay un incendio en un pastizal en las afueras de La Palma, lejos de las casas, ya nadie sabe que hacer",incendio,media,generador_sintetico,sintetico
"Salió una grieta chica en la barda del patio en San Rafael, quería reportarla, urge apoyo",dano_estructural,baja,generador_sintetico,sintetico
"Un niño fue arrastrao por la corriente a un lado del OXXO, ayuda por favor",persona_en_riesgo,alta,generador_sintetico,sintetico
"El poste de Hidalgo está un poco inclinado, quería reportarlo por si acaso",caida_poste_cable,baja,generador_sintetico,sintetico
"Hay una persona en silla de ruedas atrapada por el agua en Los Pinos, pero está a salvo por ahora",persona_en_riesgo,media,generador_sintetico,sintetico
En Buenavista el agua nos llega al pecho y hay gente adulta mayor adenttro,inundacion,alta,generador_sintetico,sintetico
"Se inundó la calle Hidalgo en Los Pinos, ya no pasan los carros, les agradezco cualquier apoyo",inundacion,media,generador_sintetico,sintetico
hay un incendio en un negocio de cocolapan y hay gente en el edifico de arriba,incendio,alta,generador_sintetico,sintetico
"Solo quiero avisar que en la esquina de la farmacia sigue encharcado desde ayer, urge apoyo",inundacion,baja,generador_sintetico,sintetico
"Hay un cable haciendo chispas a un lado del OXXO, la gente pasa junto",caida_poste_cable,alta,generador_sintetico,sintetico
Quedaron unas piedras en el camino de Lomas del Sol después de la lluvia,deslave,baja,generador_sintetico,sintetico
"Se drrumbo el talud de la calle Madero, hay  tierra en toda la via",deslave,media,generador_sintetico,sintetico
"Se ahoga alguien en el arroyo de La Palma, vengan rápido, es en serio",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se deslavó un poco de tierra cerca de la iglesia, nada grave pero por si quieren revisar, ojalá puedan venir pronto",deslave,baja,generador_sintetico,sintetico
"Se deslavó un poco de tierra cerca del parque, nada grave pero por si quieren revisar",deslave,baja,generador_sintetico,sintetico
"Salio una grieta chica en la barda del patio en Las Brisas, queria reportarla",dano_estructural,baja,generador_sintetico,sintetico
"Hay un incendio en un negocio de Los PPinos y hay gente en el edificio de arriba, es en serio",incendio,alta,generador_sintetico,sintetico
¿Dónde reporto un bache que salió en la calle Reforma?,otro,baja,generador_sintetico,sintetico
"Se ahoga alguien en el arroyo de La Loma, vengan rápido",persona_en_riesgo,alta,generador_sintetico,sintetico
"Se inundó la calle Allende en El Manantial, ya no pasan los carros, por favor manden ayuda",inundacion,media,generador_sintetico,sintetico
"Solo aviso que hay un cable suelto frente al mercado, no parece de luz",caida_poste_cable,baja,generador_sintetico,sintetico
"mi abuelita está atrapada en lomas del sol, necesita su oxígeno y se fue la luz",persona_en_riesgo,alta,generador_sintetico,sintetico
Se cayó un poste con los cables encima de la banqueta en Madero y hay niños jugando cerca,caida_poste_cable,alta,generador_sintetico,sintetico
Ya bajó el agua en El Tejar pero quedó mucho lodo en la calle Xalapa,inundacion,baja,generador_sintetico,sintetico
Se fue la luz en toda la colonia La Palma desde hace horas,otro,media,generador_sintetico,sintetico
"Hay un cable haciendo chispas frente a la gasolinera, la gene pasa junto",caida_poste_cable,alta,generador_sintetico,sintetico
"Una familia quedo incomunicada en Playa Linda por el agua, estan bien pero no pueden salir",persona_en_riesgo,media,generador_sintetico,sintetico
"Un poste quedo chueco despues del norte en Colinas de Santa Fe, se ve que se va a caer",caida_poste_cable,media,generador_sintetico,sintetico
"Cable de luz caido y energizado en la calle Alleende, alguien lo va a tocar",caida_poste_cable,alta,generador_sintetico,sintetico
"Hay gente atrapada dentro de un carro en la calle Madero, el agua los tapo",persona_en_riesgo,alta,generador_sintetico,sintetico
¿Van a abrir algun allbergue por la zona de Insurgentes?,otro,media,generador_sintetico,sintetico
"Se desprendió un pedazo de aplanado en la esquina de la farmacia, cosa menor",dano_estructural,baja,generador_sintetico,sintetico
"Hay un incendio en un pastizal en las afueras de Río Medio, lejos de las casas",incendio,media,generador_sintetico,sintetico
hay mucha basura acumulada atras de la secundaria por la lluvia de ayer,otro,baja,generador_sintetico,sintetico
"Se está quemando basura acumulada cerca del parque, sale bastante humo",incendio,media,generador_sintetico,sintetico
"Fuego en un llote baldío en la calle Xalapa, no hay viviendas cerca",incendio,media,generador_sintetico,sintetico
"hay una grieta grande en el muro de una casa en la palma, se está abriendo más",dano_estructural,media,generador_sintetico,sintetico
Se esta incendiando una casa en Buenavista y dicen que hay alguien adentro,persona_en_riesgo,alta,generador_sintetico,sintetico
"Se está deslavando el cerro arriba de las casas en Playa Linda y la gente sigue adentro, ya nadie sabe qué hacer",deslave,alta,generador_sintetico,sintetico
Solo quiero avisar que cerca de la iglesia  sigue encharcado desde ayer,inundacion,baja,generador_sintetico,sintetico
"Se desprendió un pedazo de aplanado cerca de la iglesia, cosa menor, por favor manden ayuda",dano_estructural,baja,generador_sintetico,sintetico
"necesitamos despensas y cobijas en san rafael, quedamos varios sin nada",otro,media,generador_sintetico,sintetico
"salió una grieta chica en la barda del patio en playa linda, quería reportarla, manden a alguien porfa",dano_estructural,baja,generador_sintetico,sintetico
"La corriente en la calle Morelos está muy fuerte y arrastra cosas, hay personas cruzando",inundacion,alta,generador_sintetico,sintetico
"Solo aviso que huele a quemado por Buenavista, no veo llamas",incendio,baja,generador_sintetico,sintetico
"Solo aviso que huele a quemado por Playa Linda, no veo llamas",incendio,baja,generador_sintetico,sintetico
"Cable de luz caído y energizado en la calle Hidalgo, alguien lo va a tocar",caida_poste_cable,alta,generador_sintetico,sintetico
"Hay una persona en silla deruedas atrapada por el agua en El Manantial, pero está a salvo por ahora",persona_en_riesgo,media,generador_sintetico,sintetico
"Una señora s cayó junto a laa primaria y no se puede levantar, está herida",persona_en_riesgo,alta,generador_sintetico,sintetico
"El poste de Independencia está un poco inclinado, quería reportarlo por si acaso",caida_poste_cable,baja,generador_sintetico,sintetico
"Solo aviso que hay un cable suelto por el puente, no parece de luz, ya nadie sabe que hacer",caida_poste_cable,baja,generador_sintetico,sintetico
